Prod,PUBLICO TIENDA
LENS DE CAMARA HUAWEI P20,690
LENS DE CAMARA HUAWEI P30,1220
LENS DE CAMARA HUAWEI P30 LITE,890
LENS DE CAMARA HUAWEI P40 LITE,690
LENS DE CAMARA HUAWEI Y9 2019,690
LENS DE CAMARA HUAWEI Y9 PRIME 2019,690
LENS DE CAMARA IPHONE 11,1500
LENS DE CAMARA IPHONE 11 PRO,1500
LENS DE CAMARA IPHONE 11 PRO MAX,1500
LENS DE CAMARA IPHONE 12 / 12 PRO,1500
LENS DE CAMARA IPHONE 12 MINI,990
LENS DE CAMARA IPHONE 12 PRO MAX,1500
LENS DE CAMARA IPHONE 13 / 13 MINI,2000
LENS DE CAMARA IPHONE 13 PRO / 13 PRO MAX,2500
LENS DE CAMARA IPHONE 14,2500
LENS DE CAMARA IPHONE 14 PLUS,2500
LENS DE CAMARA IPHONE 14 PRO,2500
LENS DE CAMARA IPHONE 14 PRO MAX,2500
LENS DE CAMARA IPHONE 6,690
LENS DE CAMARA IPHONE 6 PLUS,690
LENS DE CAMARA IPHONE 6S,690
LENS DE CAMARA IPHONE 6S PLUS,690
LENS DE CAMARA IPHONE 7,690
LENS DE CAMARA IPHONE 7 PLUS,690
LENS DE CAMARA IPHONE 8,690
LENS DE CAMARA IPHONE 8 PLUS,690
LENS DE CAMARA IPHONE X,690
LENS DE CAMARA IPHONE XS,690
LENS DE CAMARA IPHONE XS MAX,690
LENS DE CAMARA MOTOROLA E7I POWER / XT2097,690
LENS DE CAMARA MOTOROLA G30 / XT2129,690
LENS DE CAMARA MOTOROLA G9 PLUS / XT2087,1200
LENS DE CAMARA PRINCIPAL IPHONE XR,800
LENS DE CAMARA SAMSUNG A01,890
LENS DE CAMARA SAMSUNG A02 / A022,690
LENS DE CAMARA SAMSUNG A10,690
LENS DE CAMARA SAMSUNG A10S,690
LENS DE CAMARA SAMSUNG A12,790
LENS DE CAMARA SAMSUNG A125/A12,690
LENS DE CAMARA SAMSUNG A13,690
LENS DE CAMARA SAMSUNG A20,690
LENS DE CAMARA SAMSUNG A20S,690
LENS DE CAMARA SAMSUNG A21,690
LENS DE CAMARA SAMSUNG A21S,690
LENS DE CAMARA SAMSUNG A22 4G,690
LENS DE CAMARA SAMSUNG A30,690
LENS DE CAMARA SAMSUNG A30S,690
LENS DE CAMARA SAMSUNG A31,690
LENS DE CAMARA SAMSUNG A40,690
LENS DE CAMARA SAMSUNG A41,690
LENS DE CAMARA SAMSUNG A50,690
LENS DE CAMARA SAMSUNG A50S / A70,690
LENS DE CAMARA SAMSUNG A51,690
LENS DE CAMARA SAMSUNG A70,690
LENS DE CAMARA SAMSUNG A71,690
LENS DE CAMARA SAMSUNG NOTE 20,900
LENS DE CAMARA SAMSUNG S20,990
LENS DE CAMARA SAMSUNG S20 FE,990
LENS DE CAMARA SAMSUNG S20 ULTRA NEGRO,990
LENS DE CAMARA SAMSUNG S22 ULTRA,990
LENS DE CAMARA XIAOMI MI A1,690
LENS DE CAMARA XIAOMI NOTE 10 / 10 PRO,690
LENS DE CAMARA XIAOMI REDMI 10,950
LENS DE CAMARA XIAOMI REDMI 10C,690
LENS DE CAMARA XIAOMI REDMI 9A,690
LENS DE CAMARA XIAOMI REDMI 9C,690
LENS DE CAMARA XIAOMI REDMI NOTE 10 4G,690
LENS DE CAMARA XIAOMI REDMI NOTE 10 5G,690
LENS DE CAMARA XIAOMI REDMI NOTE 10 PRO,990
LENS DE CAMARA XIAOMI REDMI NOTE 10S,690
LENS DE CAMARA XIAOMI REDMI NOTE 11,650
LENS DE CAMARA XIAOMI REDMI NOTE 11 PRO,650
LENS DE CAMARA XIAOMI REDMI NOTE 11S,650
LENS DE CAMARA XIAOMI REDMI NOTE 7,690
LENS DE CAMARA XIAOMI REDMI NOTE 8,690
LENS DE CAMARA XIAOMI REDMI NOTE 8 PRO / 8T,690
LENS DE CAMARA XIAOMI REDMI NOTE 9 / 9S / 9 PRO,690
LIBERACION DE RED CELULAR AG,2500
LIMPIEZA DE CONECTOR,500
LINTERNA LUZ UV VERDE LY-UVH900/700,500
LIQUIDO PARA LIMPIADOR ULTRASONICO,650
LUZ LED AMSCOPE PARA MICROSCOPIO,4380
MANO DE OBRA,1000
MAQUINA CORTADORA DE HIDROGEL SS890-C,45000
MAQUINA LASER PARA TAPAS TBK-958B,155000
MICROFONO SAMSUNG,890
MICROSCOPIO TRINOCULAR CON MONITOR,990
MINI TORNO DREMEL WL-800 24 PCS,1990
MULTIMETRO DIGITAL,3980
ORGANIZADOR DE MADERA HERRAMIENTAS CELULARES Y PC,"624,75"
ORGANIZADORA PLASTICO HERRAMIENTAS Y PC,790
"PANTALLA APPLE MACBOOK AIR 13.3"" COMP (A2179) SILVER",26600
PANTALLA IPAD 11 PRO A2068 / A2228 / A2230 / A2231 2º GEN,19800
PANTALLA IPAD PRO 11 2018 A1934 / A1980,14990
PANTALLA ALCATEL 1SE / TCL T PRO / 5130M / 5030M,2400
PANTALLA ALCATEL 3X 2020 / 5X,3790
PANTALLA ALCATEL IDOL 2S,1400
PANTALLA ALCATEL OT 6012,1890
PANTALLA ALCATEL OT 6034,1400
"PANTALLA ALCATEL OT5061U / 3X 2019 / 3X 2020 / 5048A/ FPC6503-1 / TCL T9 6.5"" / 10 SE T766J 6",3790
"PANTALLA APPLE MACBOOK AIR 13"" COMP. SILVER (A1466)",20500
"PANTALLA APPLE MACBOOK AIR M1 13"" COMP (A2337) SILVER",26500
"PANTALLA APPLE MACBOOK PRO 13"" 2013-2014 COMP. PLATEADO (A1502)",43200
"PANTALLA APPLE MACBOOK PRO 13.3"" COMP. (A1989/A2159/A2251/A2289) SPACE GRAY",26340
PANTALLA GOOGLE PIXEL 3XL,7500
PANTALLA GOOGLE PIXEL 4A,9990
PANTALLA GOOGLE PIXEL 4XL,8038
PANTALLA GOOGLE PIXEL 5A 5G,7990
PANTALLA GOOGLE PIXEL 6,9990
PANTALLA HONOR X6S,3135
PANTALLA HONOR X7 / PLAY 6T / HONOR PLAY 30 PLUS,1990
PANTALLA HONOR X8 (TFI-LX3),2500
PANTALLA HUAWEI HONOR 10 LITE,3090
PANTALLA HUAWEI HONOR 8X,2870
PANTALLA HUAWEI HONOR X8 (TFI-LX3),3480
PANTALLA HUAWEI MATE 10,3685
PANTALLA HUAWEI MATE 10 LITE,2185
PANTALLA HUAWEI MATE 20 LITE / NOVA 3I,2171
PANTALLA HUAWEI MATE 20 ORI/CH,6485
PANTALLA HUAWEI MATE 20 ORIGINAL,9890
PANTALLA HUAWEI MATE 40 PRO,21990
PANTALLA HUAWEI MATE 9,3195
PANTALLA HUAWEI MATE 9 LITE / HONOR 6X BLANCO,1790
PANTALLA HUAWEI MATE 9 LITE/ HONOR 6X NEGRO,1790
PANTALLA HUAWEI MATE PAD T10,1890
PANTALLA HUAWEI NOVA 10,4500
PANTALLA HUAWEI NOVA 2 PLUS,2990
PANTALLA HUAWEI NOVA 5T / NOVA 5I PRO / HONOR 20 / 20S / 20 PRO (2019),1795
PANTALLA HUAWEI NOVA 8I,2785
PANTALLA HUAWEI NOVA 9,12895
PANTALLA HUAWEI NOVA 9SE,3485
PANTALLA HUAWEI NOVA Y60,2245
PANTALLA HUAWEI NOVA Y70,2385
PANTALLA HUAWEI NOVA Y90,3294
PANTALLA HUAWEI P SMART,2485
PANTALLA HUAWEI P SMART / ENJOY 7S CON MARCO BLANCO (FIG-LX3),3560
PANTALLA HUAWEI P SMART 2019 POT LX3 ORIGINAL,2285
PANTALLA HUAWEI P SMART 2019 CON MARCO NEGRA (POT-LX3),1945
PANTALLA HUAWEI P SMART 2021 / Y7A /,2785
PANTALLA HUAWEI P10,2085
PANTALLA HUAWEI P10 LITE,1285
PANTALLA HUAWEI P10 SELFIE,1595
PANTALLA HUAWEI P20 (EML-L09),2745
PANTALLA HUAWEI P20 LITE,1885
PANTALLA HUAWEI P20 ORI (02351WKF),4490
PANTALLA HUAWEI P20 PRO,4485
PANTALLA HUAWEI P30 0RI / GLASS (02352NLL),9895
PANTALLA HUAWEI P30 0RIGINAL,6495
PANTALLA HUAWEI P30 LITE CON MARCO,3795
PANTALLA HUAWEI P30 LITE ORI / CHI (MAR-LX3A),1945
PANTALLA HUAWEI P30 OLED 1:1,7400
PANTALLA HUAWEI P30 PRO,8693
PANTALLA HUAWEI P40 LITE (JNY-L21A),1895
PANTALLA HUAWEI P8 LITE (ALE-L21),1075
PANTALLA HUAWEI P9,2085
PANTALLA HUAWEI P9 LITE,1995
PANTALLA HUAWEI P9 LITE SMART,1920
PANTALLA HUAWEI Y3 II,1489
PANTALLA HUAWEI Y5 2016 / Y5 II,1985
PANTALLA HUAWEI Y5 2018 / HONOR 7S,1595
PANTALLA HUAWEI Y5 2019,1445
PANTALLA HUAWEI Y5 2019 C/ MARCO,2500
PANTALLA HUAWEI Y5 LITE NEGRA,1650
PANTALLA HUAWEI Y5P Y5 PRIME,2380
PANTALLA HUAWEI Y6 2018 / HONOR 7A,1645
PANTALLA HUAWEI Y6 2019 / HONOR 8A / Y6S,1695
PANTALLA HUAWEI Y6P / HONOR 9A,1795
PANTALLA HUAWEI Y7 2017,2275
PANTALLA HUAWEI Y7 2018,1815
PANTALLA HUAWEI Y7 2019 (DUB-LX2),1785
PANTALLA HUAWEI Y7 PRIME,2490
PANTALLA HUAWEI Y7P / P40 LITE E,2485
PANTALLA HUAWEI Y8P,6739
PANTALLA HUAWEI Y9 2019 / Y8S (JKM-LX3),1985
PANTALLA HUAWEI Y9 PRIME 2019 C/ MARCO,3195
PANTALLA HUAWEI Y9 PRIME 2019 (STK-LX3) Y10 2019,2095
PANTALLA HUAWEI Y9A (FRL-L23),2895
PANTALLA HUAWEI Y9S (STK-LX3),2485
PANTALLA INFINIX HOT 10 LITE / SMART 5 X657,2300
PANTALLA IPAD 2 A1395 / A1396 / A1397,3400
PANTALLA IPAD AIR A1474 / A1475,6590
PANTALLA IPAD AIR 2 - A1566 / A1567,8990
PANTALLA IPAD MINI 3 A1599 / A1600 / A1601,4990
PANTALLA IPAD MINI 4 A1538 / A1550,6990
PANTALLA IPAD PRO 10.5 BLANCO A1701 / A1709 2º GEN,9390
PANTALLA IPAD PRO 10.5 NEGRO A1701 / A1709 2º GEN,9390
PANTALLA IPAD PRO 12.9 A1670 / A1671 / A1652 2º GEN BLANCO,15990
PANTALLA IPHONE SE 2020 / SE 2022 NEGRO,2500
PANTALLA IPHONE 11,4900
PANTALLA IPHONE 11 INCELL (ORI IC),2595
PANTALLA IPHONE 11 ORIGINAL,6880
PANTALLA IPHONE 11 PRO MAX,12890
PANTALLA IPHONE 11 PRO OLED,5990
PANTALLA IPHONE 11 PRO ORI/GLASS,7985
PANTALLA IPHONE 12 / 12 PRO,16980
PANTALLA IPHONE 12 / 12 PRO INCELL (ORI IC),6320
PANTALLA IPHONE 12 / 12 PRO OLED (YK),8260
PANTALLA IPHONE 12 MINI,15985
PANTALLA IPHONE 12 MINI INCELL (ORI IC),7395
PANTALLA IPHONE 12 PRO MAX,18985
PANTALLA IPHONE 12 PRO MAX INCELL (ORI IC),8985
PANTALLA IPHONE 12 PRO MAX OLED (YK),10125
PANTALLA IPHONE 13,21590
PANTALLA IPHONE 13 (ORI GLASS),16300
PANTALLA IPHONE 13 INCELL (ORI IC),7895
PANTALLA IPHONE 13 MINI,24590
PANTALLA IPHONE 13 MINI INCELL (ORI IC),10000
PANTALLA IPHONE 13 PRO,23790
PANTALLA IPHONE 13 PRO (ORI GLASS),19990
PANTALLA IPHONE 13 PRO MAX,23990
PANTALLA IPHONE 13 PRO MAX (ORI GLASS),25590
PANTALLA IPHONE 14,22500
PANTALLA IPHONE 14 (ORI GLASS),19990
PANTALLA IPHONE 14 INCELL,14985
PANTALLA IPHONE 14 PLUS,17990
PANTALLA IPHONE 14 PLUS INCELL (ORI IC),17985
PANTALLA IPHONE 14 PRO,29990
PANTALLA IPHONE 14 PRO (ORI CHANGED GLASS),19990
PANTALLA IPHONE 14 PRO MAX,31590
PANTALLA IPHONE 14 PRO MAX (ORI CHANGED GLASS),21985
PANTALLA IPHONE 4 NEGRO,1200
PANTALLA IPHONE 5 BLANCA,1290
PANTALLA IPHONE 5 NEGRO,1290
PANTALLA IPHONE 5C,1300
PANTALLA IPHONE 5S / SE BLANCA,1490
PANTALLA IPHONE 5S / SE NEGRA,1490
PANTALLA IPHONE 6 BLANCA,980
PANTALLA IPHONE 6 NEGRA,980
PANTALLA IPHONE 6 PLUS BLANCA,1240
PANTALLA IPHONE 6 PLUS NEGRA,1090
PANTALLA IPHONE 6S BLANCA,1249
PANTALLA IPHONE 6S NEGRA,1249
PANTALLA IPHONE 6S PLUS BLANCA,1790
PANTALLA IPHONE 6S PLUS NEGRO,1790
PANTALLA IPHONE 7 BLANCA,1187
PANTALLA IPHONE 7 NEGRA,1187
PANTALLA IPHONE 7 PLUS BLANCA,1144
PANTALLA IPHONE 7 PLUS NEGRA,1144
PANTALLA IPHONE 8 / SE 2020 BLANCA,1199
PANTALLA IPHONE 8 / SE 2020 NEGRA,1199
PANTALLA IPHONE 8 PLUS BLANCA,1144
PANTALLA IPHONE 8 PLUS NEGRA,1144
PANTALLA IPHONE X (INCELL),2385
PANTALLA IPHONE X OLED,3500
PANTALLA IPHONE X ORI GLASS,6500
PANTALLA IPHONE X ORIGINAL,7500
PANTALLA IPHONE XR,4900
PANTALLA IPHONE XR INCELL RJ,2770
PANTALLA IPHONE XR ORI GLASS,6290
PANTALLA IPHONE XR ORIGINAL,7590
PANTALLA IPHONE XS (OLED),3585
PANTALLA IPHONE XS INCELL,2595
PANTALLA IPHONE XS MAX,5990
PANTALLA IPHONE XS MAX (YK),4295
PANTALLA IPHONE XS MAX INCELL,3895
PANTALLA IPHONE XS MAX ORI GLASS,8090
PANTALLA IPHONE XS ORI GLASS,6690
PANTALLA IPHONE XS ORIGINAL,7990
PANTALLA LENOVO M7 (3RD GEN) (TB-7306F) 7,2500
PANTALLA LG F60 / D392 NEGRA,2900
PANTALLA LG G4 NEGRA,2190
PANTALLA LG K10,2990
PANTALLA LG K11 PLUS / X4010,2990
PANTALLA LG K20 2019 NEGRA,2800
PANTALLA LG K220 / X POWER,2500
PANTALLA LG K3 2016 / K4 K120,2990
PANTALLA LG K8V VERIZON NEGRO,3190
PANTALLA LG Q6,3290
PANTALLA LG Q60 / K50,3490
PANTALLA MOTOROLA E20,2180
PANTALLA MOTOROLA E32,3790
PANTALLA MOTOROLA E4,1685
PANTALLA MOTOROLA E4 PLUS,2290
PANTALLA MOTOROLA E40 // E30,3290
PANTALLA MOTOROLA E5,3890
PANTALLA MOTOROLA E5 PLAY / XT1920,3190
PANTALLA MOTOROLA E5 PLUS,2185
PANTALLA MOTOROLA E6 PLAY,2590
PANTALLA MOTOROLA E6 PLUS NEGRA,2680
PANTALLA MOTOROLA E6S,1985
PANTALLA MOTOROLA E7 (XT-2095-1),4290
PANTALLA MOTOROLA E7 PLUS / G9 PLAY,1740
PANTALLA MOTOROLA E7I POWER / XT2097,1695
PANTALLA MOTOROLA EDGE 20 LITE / XT2139,9900
PANTALLA MOTOROLA EDGE 20 PRO,7590
PANTALLA MOTOROLA EDGE 30 FUSION,5500
PANTALLA MOTOROLA G100 / XT2125-4,2699
PANTALLA MOTOROLA G20 / XT2128,1890
PANTALLA MOTOROLA G22 / XT2231,2385
PANTALLA MOTOROLA G30,1890
PANTALLA MOTOROLA G4 PLAY,2290
PANTALLA MOTOROLA G40 FUSION V2,3590
PANTALLA MOTOROLA G41 (XT2167 / 2022) G31 / G71,5090
PANTALLA MOTOROLA G42 / XT2233-2,4590
PANTALLA MOTOROLA G51 5G (XT2171 / 2021),3690
PANTALLA MOTOROLA G52 / XT2221,6990
PANTALLA MOTOROLA G6,2350
PANTALLA MOTOROLA G6 PLAY,4590
PANTALLA MOTOROLA G60S / XT2133,2485
PANTALLA MOTOROLA G7 PLAY,3590
PANTALLA MOTOROLA G7 POWER XT1955,2940
PANTALLA MOTOROLA G7 XT-1962 / G7 / G7 PLUS / XT1965,3590
PANTALLA MOTOROLA G8 / XT2045,3690
PANTALLA MOTOROLA G8 PLUS,2685
PANTALLA MOTOROLA G8 POWER,4690
PANTALLA MOTOROLA G8 POWER LITE,3290
PANTALLA MOTOROLA G9 PLUS / XT2087,2090
PANTALLA MOTOROLA G9 POWER (XT2091 / 2020),2500
PANTALLA MOTOROLA MOTO C,2190
PANTALLA MOTOROLA MOTO C PLUS,2875
PANTALLA MOTOROLA MOTO ONE,3890
PANTALLA MOTOROLA Z PLAY,4490
PANTALLA MOTOROLA Z2,2590
PANTALLA MOTOROLA Z2 PLAY,2700
PANTALLA NOKIA 1,1990
PANTALLA NOKIA 1.3,3490
PANTALLA NOKIA 2,1600
PANTALLA NOKIA 2.2,2890
PANTALLA NOKIA 2.3,2680
PANTALLA NOKIA 2.4,2500
PANTALLA NOKIA 3,1599
PANTALLA NOKIA 3.1,2890
PANTALLA NOKIA 3.2,3400
PANTALLA NOKIA 3.4 TA-1288,3990
PANTALLA NOKIA 5,1990
PANTALLA NOKIA 5.1,2590
PANTALLA NOKIA 5.1 PLUS,3390
PANTALLA NOKIA 6,1990
PANTALLA NOKIA 6.1,2699
PANTALLA NOKIA 625,1800
PANTALLA NOKIA 7 PLUS,5900
PANTALLA NOKIA 8,2890
PANTALLA NOKIA C1 PLUS,2490
PANTALLA NOKIA C20,3290
PANTALLA NOKIA C3 2020 TA-1298,3890
PANTALLA NOKIA C30,3790
PANTALLA NOKIA G10 / G20,3890
PANTALLA NOKIA LUMIA 1320,2190
PANTALLA NOKIA LUMIA 720,3690
PANTALLA NOKIA LUMIA 730 / 735 C/ MARCO,3690
PANTALLA NOKIA LUMIA 800,1900
PANTALLA REALME 8 4G OLED,5590
PANTALLA SAMSUNG A01 CORE / A013,2095
PANTALLA SAMSUNG A015F,1445
PANTALLA SAMSUNG A015M,1440
PANTALLA SAMSUNG A02 A022 2021 / M12,1790
PANTALLA SAMSUNG A02S / A025F / A025M / A035M / A03,1980
PANTALLA SAMSUNG A02S / A025F / M12 C/ MARCO,4590
PANTALLA SAMSUNG A03 / A035F (160MM) / A02S,1675
PANTALLA SAMSUNG A03 CORE / A032F (GH96-19112A-21711A),1495
PANTALLA SAMSUNG A03S / A04E,1785
PANTALLA SAMSUNG A04 / A045,1995
PANTALLA SAMSUNG A04E,1795
PANTALLA SAMSUNG A04S / A047,1795
PANTALLA SAMSUNG A10,1680
PANTALLA SAMSUNG A10E,2290
PANTALLA SAMSUNG A10S / A107,1680
PANTALLA SAMSUNG A10S / A107 C/ MARCO,5340
PANTALLA SAMSUNG A11 / A115F / A115M,1790
PANTALLA SAMSUNG A11 CON MARCO,3900
PANTALLA SAMSUNG A12 / A125,1695
PANTALLA SAMSUNG A127 / A12S,1695
PANTALLA SAMSUNG A13 / A23 2022 / A135 / A137 / M336 / A135 / A235 4G / M236 ( M23 / M33 5G 2022 ),2370
PANTALLA SAMSUNG A14 5G / A146B 2023,2290
PANTALLA SAMSUNG A14 5G / A146P 2023 CONECTOR CHICO,2290
PANTALLA SAMSUNG A20 OLED,2495
PANTALLA SAMSUNG A20 ORI,3280
PANTALLA SAMSUNG A20S / A207,2290
PANTALLA SAMSUNG A21,1995
PANTALLA SAMSUNG A21S / A217 (GH96-13759A),2080
PANTALLA SAMSUNG A21S C/ MARCO,4600
PANTALLA SAMSUNG A22 / A225 4G,2489
PANTALLA SAMSUNG A22 / A225 4G OLED CON MARCO,2985
PANTALLA SAMSUNG A22 / A226 5G (GH81-20694A),2445
PANTALLA SAMSUNG A23 / A235 4G 2022,2095
PANTALLA SAMSUNG A3 2016,3890
PANTALLA SAMSUNG A30,4990
PANTALLA SAMSUNG A30S OLED,2695
PANTALLA SAMSUNG A30S ORI,5800
PANTALLA SAMSUNG A31 C/ MARCO,6590
PANTALLA SAMSUNG A31 OLED C/ MARCO,2990
PANTALLA SAMSUNG A31 ORI GLASS,3790
PANTALLA SAMSUNG A32 / A325,6240
PANTALLA SAMSUNG A32 4G ORI GLASS,4290
PANTALLA SAMSUNG A32 CON MARCO (OLED),3885
PANTALLA SAMSUNG A33 / A336 5G,4985
PANTALLA SAMSUNG A40,5590
PANTALLA SAMSUNG A5 2017,5000
PANTALLA SAMSUNG A50 OLED,2790
PANTALLA SAMSUNG A50 ORI GLASS,4885
PANTALLA SAMSUNG A50 ORIGINAL,5885
PANTALLA SAMSUNG A51 / A515 OLED,5990
PANTALLA SAMSUNG A51 / A515 ORIGINAL CON MARCO,7395
PANTALLA SAMSUNG A51/ A515 CON MARCO (OLED),5990
PANTALLA SAMSUNG A52 C/ MARCO (OLED),5285
PANTALLA SAMSUNG A52 C/ MARCO ORI GLASS,7980
PANTALLA SAMSUNG A52S / A528,5890
PANTALLA SAMSUNG A53 5G / A536,6990
PANTALLA SAMSUNG A6,5470
PANTALLA SAMSUNG A6 PLUS,3780
PANTALLA SAMSUNG A7 2016,5980
PANTALLA SAMSUNG A7 2017 / A720,5590
PANTALLA SAMSUNG A7 2018 / A750,5990
PANTALLA SAMSUNG A7 2018 / A750 (OLED),3280
PANTALLA SAMSUNG A70,6890
PANTALLA SAMSUNG A71 (OLED),4995
PANTALLA SAMSUNG A71 ORI,5975
PANTALLA SAMSUNG A72 (OLED),5785
PANTALLA SAMSUNG A72 ORI,7790
PANTALLA SAMSUNG A8 2018 / 530,5600
PANTALLA SAMSUNG A9 2018,6980
PANTALLA SAMSUNG GALAXY TAB A7 LITE 8.7 T220,3190
PANTALLA SAMSUNG GALAXY TAB S7 SM-T870,4500
PANTALLA SAMSUNG J2 CORE,1980
PANTALLA SAMSUNG J2 PRIME,1980
PANTALLA SAMSUNG J2 PRO / J250,3190
PANTALLA SAMSUNG J3 2016,2380
PANTALLA SAMSUNG J3 PRIME GRIS,1990
PANTALLA SAMSUNG J4 PLUS / J6 PLUS J610,2690
PANTALLA SAMSUNG J400,2485
PANTALLA SAMSUNG J5 PRIME BLANCA,2190
PANTALLA SAMSUNG J5 PRIME DORADA,2180
PANTALLA SAMSUNG J5 PRIME NEGRA,2190
PANTALLA SAMSUNG J5 PRO NEGRA,3385
PANTALLA SAMSUNG J500 DORADA,3390
PANTALLA SAMSUNG J500 NEGRA,3390
PANTALLA SAMSUNG J510-J5 2016 NEGRA,2790
PANTALLA SAMSUNG J6 / J600 (ORI GLASS),3480
PANTALLA SAMSUNG J7 DUO / J720,2390
PANTALLA SAMSUNG J7 PRIME BLANCO,1780
PANTALLA SAMSUNG J7 PRIME NEGRO,1780
PANTALLA SAMSUNG J700 / J7 BLANCO,2963
PANTALLA SAMSUNG J700 OLED NEGRO,2963
PANTALLA SAMSUNG J700 ORI GLASS NEGRO,3990
PANTALLA SAMSUNG J701 / J7 NEO DORADO,3500
PANTALLA SAMSUNG J701 / J7 NEO NEGRO,3780
PANTALLA SAMSUNG J701 / J7 NEO OLED NEGRO,3780
PANTALLA SAMSUNG J727 / J7 V NEGRO,1990
PANTALLA SAMSUNG J730 / J7 PRO NEGRO,4490
PANTALLA SAMSUNG J8,4285
PANTALLA SAMSUNG M20,1640
PANTALLA SAMSUNG M31 / CON MARCO,3990
PANTALLA SAMSUNG NOTE 10,12990
PANTALLA SAMSUNG NOTE 10 LITE,14980
PANTALLA SAMSUNG NOTE 10 PLUS,18000
PANTALLA SAMSUNG NOTE 20,14980
PANTALLA SAMSUNG NOTE 20 ULTRA,17970
PANTALLA SAMSUNG NOTE 5 AZUL,6490
PANTALLA SAMSUNG NOTE 5 BLANCO,7899
PANTALLA SAMSUNG NOTE 5 DORADO,7899
PANTALLA SAMSUNG NOTE 8,11890
PANTALLA SAMSUNG NOTE 9,13980
PANTALLA SAMSUNG S10,13390
PANTALLA SAMSUNG S10 LITE / CON MARCO,9890
PANTALLA SAMSUNG S10 PLUS,13980
PANTALLA SAMSUNG S10E / CON MARCO,10180
PANTALLA SAMSUNG S20,15390
PANTALLA SAMSUNG S20 FE,7990
PANTALLA SAMSUNG S20 PLUS,15980
PANTALLA SAMSUNG S20 ULTRA,14980
PANTALLA SAMSUNG S21 / CON MARCO,11790
PANTALLA SAMSUNG S21 FE,9894
PANTALLA SAMSUNG S21 PLUS C/ MARCO,12890
PANTALLA SAMSUNG S21 ULTRA,17990
PANTALLA SAMSUNG S22,12990
PANTALLA SAMSUNG S22 ORIGINAL C/ MARCO,11980
PANTALLA SAMSUNG S22 PLUS C/ MARCO,11980
PANTALLA SAMSUNG S22 ULTRA,20880
PANTALLA SAMSUNG S23,12985
PANTALLA SAMSUNG S23 PLUS 5G (GH82-30476B/30477B) BEIG,14980
PANTALLA SAMSUNG S23 ULTRA,18990
PANTALLA SAMSUNG S3 MINI NEGRA,2500
PANTALLA SAMSUNG S6 EDGE AZUL,6450
PANTALLA SAMSUNG S6 EDGE BLANCO,6450
PANTALLA SAMSUNG S6 EDGE DORADO,6890
PANTALLA SAMSUNG S6 EDGE NEGRA,6450
PANTALLA SAMSUNG S6 EDGE VERDE,6450
PANTALLA SAMSUNG S6 FLAT AZUL,6590
PANTALLA SAMSUNG S7 EDGE DORADO,9790
PANTALLA SAMSUNG S7 EDGE NEGRO,7490
PANTALLA SAMSUNG S7 NEGRO,4980
PANTALLA SAMSUNG S8 NEGRO,10490
PANTALLA SAMSUNG S8 PLUS,10480
PANTALLA SAMSUNG S9,8290
PANTALLA SAMSUNG S9 PLUS,10980
